checkpoint,world,seed,relation_budget,distance_pair_seed,pair_split_seed,world_seed,data_order_seed,held_out_point_seed,pair_split_digest,held_out_pair_digest,point_split_digest,training_step,num_points,tasks,pca_explained_variance,probe_r2,cv_probe_r2_mean,cv_probe_r2_std,embedding_distance_spearman,nearest_recall,embedding_intrinsic_dimension,prediction_mae,prediction_rmse,prediction_pearson,prediction_spearman,held_out_pair_n_examples,held_out_pair_normalized_mae,held_out_pair_normalized_rmse,held_out_pair_mae,held_out_pair_rmse,held_out_pair_r2,held_out_pair_pearson,held_out_pair_spearman,training_pair_n_examples,training_pair_normalized_mae,training_pair_normalized_rmse,training_pair_mae,training_pair_rmse,training_pair_r2,training_pair_pearson,training_pair_spearman,distance_transformer_1_task_id,distance_transformer_2_task_id,distance_pair_id,distance_h1_id,distance_h2_id,distance_task_layer1_layer2_cka,distance_sequence_layer1_layer2_cka,distance_entity_token_cka_layer1,distance_entity_token_cka_layer2,distance_symmetry_mean,distance_symmetry_max
models\octahedron_distance_pairs3000_pairseed0_seed0_model.pt,octahedron,0,3000,0,0,0,0,0,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.2188015878200531,0.37991002425763126,0.24471107553650576,0.02284929204286296,0.1708138592321386,0.0025,18.71437729684041,0.09366597980260849,0.11663074791431427,0.26067474484443665,0.24986020586020588,1000,0.09366597980260849,0.11663074791431427,0.2942603540391648,0.3664063008302928,-0.19634043155658554,0.26067474484443665,0.24986020586020588,3000,0.0019920109771192074,0.002591456053778529,0.006258087051587927,0.008141299300651423,0.9994276044097022,0.9997283816337585,0.9997102786344753,11.828805742709234,10.756137475680736,10.756137475680736,11.021402818766575,11.14473862376678,0.8929259047051535,0.9159213209965232,0.15173479695481007,0.4207760956952466,2.4139136911571768e-08,1.1920928955078125e-07
models\octahedron_distance_pairs3000_pairseed0_seed1_model.pt,octahedron,1,3000,0,0,0,0,0,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.2224074751138687,0.47433807809575984,0.3217115502527865,0.04188874047133642,0.22120861014408608,0.015,16.120183623958088,0.08800186216831207,0.11139555275440216,0.33122026920318604,0.33302399702399704,1000,0.08800186216831207,0.11139555275440216,0.27646600369019075,0.3499594501758041,-0.09135073467147459,0.33122026920318604,0.33302399702399704,3000,0.005110870581120253,0.006642787717282772,0.016056273471095582,0.020868933091972068,0.996238948129759,0.9981266856193542,0.99807283811899,10.922630941550594,10.047580019390981,10.047580019390981,10.471156516672824,10.424751412545735,0.8654377952932624,0.9001444020623168,0.15372633477826023,0.4394454621090237,2.4723634695078545e-08,1.4901161193847656e-07
models\octahedron_distance_pairs3000_pairseed0_seed2_model.pt,octahedron,2,3000,0,0,0,0,0,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.23369094729423523,0.40994201352939363,0.27695524150273887,0.04761040909752221,0.1875083371710834,0.01,17.70323574979617,0.0889711007475853,0.11082858592271805,0.3478109538555145,0.33631554031554034,1000,0.0889711007475853,0.11082858592271805,0.2795109564904113,0.3481782713425562,-0.0802698537098594,0.3478109538555145,0.33631554031554034,3000,0.0030641374178230762,0.00397540582343936,0.009626271601422575,0.012489105729955175,0.9986529876939344,0.9993737936019897,0.9993438670382073,11.163153862959286,10.387448286466158,10.387448286466158,11.040149241034637,10.81859114327521,0.856762396474542,0.8916322144528812,0.12182996622410346,0.41382208187446,2.6739016334431653e-08,1.7881393432617188e-07
models\octahedron_distance_pairs3000_pairseed0_seed3_model.pt,octahedron,3,3000,0,0,0,0,0,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.2392732799053192,0.4434285681780759,0.30546059588086105,0.03334403486152982,0.20026945546669458,0.0175,15.508633135383091,0.09359349310398102,0.11601192504167557,0.26574113965034485,0.26660511860511865,1000,0.09359349310398102,0.11601192504167557,0.29403263035927374,0.3644622114397377,-0.18367894004399044,0.26574113965034485,0.26660511860511865,3000,0.0039826808497309685,0.005042789038270712,0.012511960899107565,0.015842388996234406,0.9978325446812352,0.999213695526123,0.9992066893562106,11.267447673964801,9.904789923846193,9.904789923846193,10.414307128191615,10.593325210412665,0.886660856409734,0.9196586124514833,0.1632456271217033,0.39884482943155386,2.5634840028487815e-08,1.7881393432617188e-07
models\octahedron_distance_pairs3000_pairseed0_seed4_model.pt,octahedron,4,3000,0,0,0,0,0,8f17bf37196e37ee2f6d83df2d29be76fd84fc5f182eaa6aa7febf68db8868f3,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.2243802696466446,0.5202872015737262,0.39548530828432904,0.0379934263945853,0.2510676274946763,0.0075,16.448655947780896,0.08205883204936981,0.10286165028810501,0.428697407245636,0.4276490716490717,1000,0.08205883204936981,0.10286165028810501,0.2577954239284589,0.3231494048812331,0.0694587123891014,0.428697407245636,0.4276490716490717,3000,0.003707548137754202,0.004750861320644617,0.01164760599239912,0.01492527102316103,0.9980762295617147,0.9990458488464355,0.9990682070075784,11.09149518475022,10.49775903691856,10.49775903691856,10.588325149074832,11.25567879608583,0.8781329358220592,0.928081011394959,0.14444882432048267,0.3898325703015125,2.565830925504997e-08,1.1920928955078125e-07
models\octahedron_distance_pairs5000_pairseed0_seed0_model.pt,octahedron,0,5000,0,0,0,0,0,ee3400e8a80ae4a8e68a730d18ff5671aad410467df45fd528da658dee2cc076,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.3942139148712158,0.9605486604409093,0.9008135084144666,0.008584373486389128,0.8738906784029068,0.125,13.710525778497683,0.011314940638840199,0.015621988102793694,0.9898716807365417,0.9928023328023328,1000,0.011314940638840199,0.015621988102793694,0.03554693438678497,0.04907792305820382,0.9785364651341384,0.9898716807365417,0.9928023328023328,5000,0.004161742515861988,0.005373324733227491,0.013074499713964325,0.01688079750725982,0.9975386124044506,0.9988232851028442,0.9988553138341851,9.17183104973807,7.794381860448689,7.794381860448689,8.197079462189791,8.159301528640025,0.9010904598447343,0.9299403347369836,0.09262702790856558,0.4455711129641683,2.1795182547634795e-08,1.1920928955078125e-07
models\octahedron_distance_pairs5000_pairseed0_seed1_model.pt,octahedron,1,5000,0,0,0,0,0,ee3400e8a80ae4a8e68a730d18ff5671aad410467df45fd528da658dee2cc076,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.345831960439682,0.938769309955245,0.878409201476917,0.01676291515310103,0.7864414469804145,0.065,13.064171113725534,0.01729530654847622,0.023994654417037964,0.9757974147796631,0.9803554763554764,1000,0.01729530654847622,0.023994654417037964,0.054334807994276334,0.07538143004199235,0.9493642037044244,0.9757974147796631,0.9803554763554764,5000,0.0047018625773489475,0.005853008944541216,0.014771336931188223,0.018387769901566032,0.9970795333891619,0.9989014863967896,0.9988893162435726,8.780922420348034,7.4851864834456565,7.4851864834456565,7.925103086336105,7.898561855240265,0.9243147675650484,0.9384966756266644,0.18932002635435233,0.447776205422628,2.3021922146426732e-08,1.1920928955078125e-07
models\octahedron_distance_pairs5000_pairseed0_seed2_model.pt,octahedron,2,5000,0,0,0,0,0,ee3400e8a80ae4a8e68a730d18ff5671aad410467df45fd528da658dee2cc076,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.4307294189929962,0.9642800142333452,0.9090692769445374,0.011168579518618457,0.8984584271845844,0.1,15.313986562640283,0.010879945009946823,0.014417191036045551,0.9910212159156799,0.9933707253707255,1000,0.010879945009946823,0.014417191036045551,0.034180355314709865,0.04529294144424132,0.9817194201553888,0.9910212159156799,0.9933707253707255,5000,0.004504192154854536,0.005735599901527166,0.01415033698404779,0.018018918514568088,0.9971955255107078,0.9986071586608887,0.9986654415945534,8.931093891489155,7.5936446764588705,7.5936446764588705,7.710909929861623,7.786406341230234,0.9502191272657653,0.9398963923772842,0.07979243837341675,0.3606704621958061,2.390816788988559e-08,1.1920928955078125e-07
models\octahedron_distance_pairs5000_pairseed0_seed3_model.pt,octahedron,3,5000,0,0,0,0,0,ee3400e8a80ae4a8e68a730d18ff5671aad410467df45fd528da658dee2cc076,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.36469948291778564,0.9514324078784472,0.8878816571526705,0.008507213281436658,0.8177025695810257,0.1025,14.236909921071147,0.01692042499780655,0.023957736790180206,0.9761927127838135,0.9810353970353971,1000,0.01692042499780655,0.023957736790180206,0.05315708286872615,0.07526544989666804,0.9495199005536372,0.9761927127838135,0.9810353970353971,5000,0.005408851429820061,0.0069381482899188995,0.01699240791628135,0.021796835697125802,0.9958962489123602,0.9982727766036987,0.998284958107316,9.027185321583863,7.623788109623236,7.623788109623236,7.783906966097865,8.104150971495457,0.930035168484265,0.9412244777402459,0.10847722096382721,0.3808590025247925,2.3318827757634608e-08,1.1920928955078125e-07
models\octahedron_distance_pairs5000_pairseed0_seed4_model.pt,octahedron,4,5000,0,0,0,0,0,ee3400e8a80ae4a8e68a730d18ff5671aad410467df45fd528da658dee2cc076,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.3853626549243927,0.9627769058686382,0.90898042332914,0.008214005179521656,0.8810368489103686,0.11,14.216778125251016,0.014496807008981705,0.019271139055490494,0.9841817617416382,0.986961542961543,1000,0.014496807008981705,0.019271139055490494,0.04554306239992595,0.06054206888303628,0.9673379505138473,0.9841817617416382,0.986961542961543,5000,0.003360568545758724,0.0043135350570082664,0.010557537455240542,0.0135513700460992,0.9984137907282433,0.9992509484291077,0.999270137146788,9.530686791797597,8.131472828668663,8.131472828668663,8.659535729859696,8.707166597039052,0.9162162705458312,0.9436617605837101,0.1009270209446416,0.38134841266561703,2.598017445620826e-08,1.1920928955078125e-07
models\octahedron_distance_pairs10000_pairseed0_seed0_model.pt,octahedron,0,10000,0,0,0,0,0,3b0b47e878af3ef0c50b6be64de9ce5c8ca53d1fddfb4a911e0b1d2d5571cf61,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.48872822523117065,0.9690844631126164,0.9209797255814405,0.010021762287374678,0.9300193344601934,0.2175,14.210775413742258,0.004555688705295324,0.0059436289593577385,0.9986556768417358,0.998940302940303,1000,0.004555688705295324,0.0059436289593577385,0.014312118168597787,0.018672461074381818,0.9968930658617225,0.9986556768417358,0.998940302940303,10000,0.0032991019543260336,0.00416764710098505,0.010364434463154396,0.013093049515209433,0.9985095081357322,0.9994279146194458,0.999490218106896,7.284762899514736,5.244281878481267,5.244281878481267,5.521336420002717,5.423936796889084,0.9166889581791092,0.919271139291957,0.0795229500663865,0.4856540317212356,2.13060520337649e-08,1.1920928955078125e-07
models\octahedron_distance_pairs10000_pairseed0_seed1_model.pt,octahedron,1,10000,0,0,0,0,0,3b0b47e878af3ef0c50b6be64de9ce5c8ca53d1fddfb4a911e0b1d2d5571cf61,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.5100797414779663,0.9678152619778893,0.928587365766424,0.0062486070041062715,0.9369666287136662,0.1925,13.615910232440683,0.005637029651552439,0.007386994082480669,0.9976668357849121,0.9980890220890222,1000,0.005637029651552439,0.007386994082480669,0.017709250941384973,0.023206926341632544,0.9952008520807696,0.9976668357849121,0.9980890220890222,10000,0.004262344911694527,0.005378421396017075,0.01339055146164536,0.0168968091456374,0.9975176824631349,0.9987835884094238,0.9988973544379569,6.836250531721037,5.40916743980014,5.40916743980014,5.444960177929186,5.474007515045654,0.9211083192342369,0.9274499141246536,0.19472094842525026,0.7514897911357716,2.175494984157922e-08,1.1920928955078125e-07
models\octahedron_distance_pairs10000_pairseed0_seed2_model.pt,octahedron,2,10000,0,0,0,0,0,3b0b47e878af3ef0c50b6be64de9ce5c8ca53d1fddfb4a911e0b1d2d5571cf61,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.5238233208656311,0.9725243113325612,0.9262905115088973,0.015611065122544808,0.9350573609185736,0.1975,12.758319566350488,0.005501883570104837,0.006974054034799337,0.9984408617019653,0.9987109227109228,1000,0.005501883570104837,0.006974054034799337,0.017284677004747742,0.021909636921463853,0.9957224091354425,0.9984408617019653,0.9987109227109228,10000,0.004497811198234558,0.005495032761245966,0.014130290617607592,0.017263154553965564,0.9974088755362591,0.9993084669113159,0.9993816954218094,7.4541281624655165,5.210375269713506,5.210375269713506,5.317488223320956,5.2507192532705735,0.9302291518048149,0.9188001790229557,0.0691867586185753,0.43399528994241915,2.292394718494961e-08,1.1920928955078125e-07
models\octahedron_distance_pairs10000_pairseed0_seed3_model.pt,octahedron,3,10000,0,0,0,0,0,3b0b47e878af3ef0c50b6be64de9ce5c8ca53d1fddfb4a911e0b1d2d5571cf61,760c267b2494ac8700a239363d26a15faf2bd11bbee7fd3ffca4d432fe89c617,e1e5ca890c2be46503524efbfad86a6dbe27c1738e27ed4f629fec2e5e86928e,5000,400,distance,0.47526121139526367,0.96586706328005,0.9206313044608312,0.010145310005432617,0.911215907260159,0.16,13.700355256556303,0.008050917647778988,0.0102709224447608,0.9964509606361389,0.9970230610230609,1000,0.008050917647778988,0.0102709224447608,0.025292703736918887,0.03226705449805105,0.990722145141189,0.9964509606361389,0.9970230610230609,10000,0.00661094207316637,0.008196364156901836,0.020768887050367144,0.025749637421469507,0.9942351217675182,0.998172402381897,0.9983284086712539,7.396529204280643,5.59536803516305,5.59536803516305,5.73561618676132,5.547091268295768,0.9698736401675617,0.9391682368524006,0.09612668606293749,0.4058959597471244,2.194643045072553e-08,1.1920928955078125e-07
