pca_explained_variance,linear_r2,cv_r2_mean,cv_r2_std,distance_spearman,nn_recall,intrinsic_dim,step,loss
0.7549383853587118,0.8876440318506623,0.8543783655577221,0.025083193524485712,0.689071852311152,0.3575,5.4951204114146375,10000,6.591070996364579e-05
0.757174475038403,0.8876095586126383,0.8557490738583043,0.024782773632777366,0.689843036599638,0.34125,5.201084766914826,10500,4.5814889745088294e-05
0.7583115161522566,0.8887129333100408,0.8587252731088059,0.023229558241390984,0.6915670337185966,0.35375,4.960274284903561,11000,5.5593794968444854e-05
0.75927289984265,0.8894083701363068,0.86065594201518,0.023293640885362624,0.6915272121473457,0.34875,5.125145345807948,11500,6.870296783745289e-05
0.7605646250730854,0.8910343978806252,0.8635826415643175,0.022140723191780853,0.6931131702950204,0.3625,4.9092359155209655,12000,5.357980262488127e-05
0.7619968437765157,0.8904539380683374,0.8643230554528312,0.021991426056387545,0.6921482973618376,0.3675,4.996755396703572,12500,8.671067917020991e-05
0.7623979310028973,0.8918303969844373,0.8666913290549629,0.02125181547013312,0.6928743746905752,0.39875,4.7772299208822515,13000,4.676522075897083e-05
0.7632694082569045,0.8920772187430756,0.8680553887389142,0.020276967005102082,0.6924434457747214,0.3975,4.911106348762873,13500,5.332722867024131e-05
0.7635973788363918,0.893484010031834,0.8704993695051186,0.01976492897112583,0.6938295848954146,0.4075,4.698733779814284,14000,4.0582257497590035e-05
0.7642309890441886,0.8942296734291854,0.872026610632697,0.019408299604206373,0.6934369006803354,0.405,4.792734641815808,14500,5.505909211933613e-05
0.7649407636262232,0.8950553351278847,0.8737286313713424,0.019109264801091177,0.6942008527885605,0.40375,4.672304262565454,15000,4.2739360651466995e-05
0.7645728117162764,0.8955208203090582,0.8749723631591584,0.01820588106317283,0.6936863504279231,0.40125,4.903168437537724,15500,4.6100118197500706e-05
0.7646273555288072,0.8952965857951727,0.8755503393912727,0.018665741588764963,0.6950766590046527,0.41125,4.684959186081093,16000,3.93895388697274e-05
0.7655324905711733,0.8958778044307173,0.8765529250517812,0.018235568400746638,0.6943142424737081,0.42875,4.572779437448186,16500,3.539583849487826e-05
0.7652088070634757,0.8957501293904431,0.8770135582964518,0.01799412321055042,0.6956644828684435,0.4325,4.610389341554685,17000,4.690470086643472e-05
0.765031880910922,0.8968397528547575,0.8787346088517711,0.01726526857102223,0.6967617561802532,0.4375,4.6452588876668095,17500,4.6778746764175594e-05
0.7655704274462191,0.8957500548145084,0.8780870249088842,0.016859468107327,0.6959299627340726,0.4175,4.642860587062134,18000,2.7612219128059223e-05
0.765414627520381,0.8972392466967198,0.8800545199015574,0.01634714883033224,0.6967401027612089,0.435,4.587120999713259,18500,3.776080484385602e-05
0.7657221621031922,0.8969850721600254,0.8802883246291922,0.016208247540103058,0.6965567805958881,0.4325,4.51763548230236,19000,3.073838888667524e-05
0.7659544472254176,0.8981373770539768,0.8817986198477424,0.015838602207823835,0.6966473741467542,0.43,4.285438851862581,19500,3.241138983867131e-05
0.7655864326332962,0.8979096499153293,0.8819717761823359,0.015963551908987888,0.696394123125387,0.44,4.2366860209112005,20000,2.6795743906404823e-05
0.765872164136513,0.8983742690095202,0.8828993106974666,0.016331390458535107,0.6979406424034054,0.425,4.362999198414762,20500,2.8813345124945045e-05
0.7657450378574111,0.8980961869748866,0.8830063499248448,0.015099758550363059,0.6973500099265215,0.42875,4.25822513755289,21000,3.2014038879424334e-05
